"","state_abbr","region","not_dc"
"1","AL",3,1
"2","AK",4,1
"3","AZ",4,1
"4","AR",3,1
"5","CA",4,1
"6","CO",4,1
"7","CT",1,1
"8","DE",1,1
"9","DC",5,0
"10","FL",3,1
"11","GA",3,1
"12","HI",4,1
"13","ID",4,1
"14","IL",2,1
"15","IN",2,1
"16","IA",2,1
"17","KS",2,1
"18","KY",3,1
"19","LA",3,1
"20","ME",1,1
"21","MD",1,1
"22","MA",1,1
"23","MI",2,1
"24","MN",2,1
"25","MS",3,1
"26","MO",2,1
"27","MT",4,1
"28","NE",2,1
"29","NV",4,1
"30","NH",1,1
"31","NJ",1,1
"32","NM",4,1
"33","NY",1,1
"34","NC",3,1
"35","ND",2,1
"36","OH",2,1
"37","OK",3,1
"38","OR",4,1
"39","PA",1,1
"40","RI",1,1
"41","SC",3,1
"42","SD",2,1
"43","TN",3,1
"44","TX",3,1
"45","UT",4,1
"46","VT",1,1
"47","VA",3,1
"48","WA",4,1
"49","WV",1,1
"50","WI",2,1
"51","WY",4,1
